Dataset,Method,k (features dropped),# Features,TSTR F1 ↑,TRTR F1 (base),Util Gap ↓,KLD Mean ↓,Corr Diff ↓,Prop Sig ↓,RF Sep (mean ± SD),Disc F1 (mean ± SD)
breast_cancer,gmm,5.0,25,0.9479606188466948,0.9707967697507234,0.022836150904028574,0.30845844630484953,0.0808292302142903,0.12,0.850 ± 0.055,0.738 ± 0.040
breast_cancer,cvae,5.0,25,0.9614325068870524,0.9707967697507234,0.00936426286367098,0.31680169761296445,0.07807789636691362,0.36,0.661 ± 0.105,0.613 ± 0.122
breast_cancer,iid_columnwise,5.0,25,0.9462068965517242,0.9707967697507234,0.02458987319899919,0.08477529111125963,0.2152801650021466,0.0,0.634 ± 0.028,0.565 ± 0.089
breast_cancer,bootstrap,10.0,20,0.9819193324061196,0.9634616398607616,-0.018457692545358007,0.09234864471281239,0.03169803891028388,0.0,0.557 ± 0.026,0.486 ± 0.083
breast_cancer,gmm,10.0,20,0.9419889502762431,0.9634616398607616,0.021472689584518534,0.3235761545984181,0.10638283813953944,0.0,0.819 ± 0.071,0.740 ± 0.087
breast_cancer,cvae,10.0,20,0.9598893499308437,0.9634616398607616,0.003572289929917871,0.31095314033833615,0.06896738432615163,0.05,0.555 ± 0.045,0.515 ± 0.102
breast_cancer,iid_columnwise,10.0,20,0.9445983379501385,0.9634616398607616,0.01886330191062313,0.07458238241313181,0.2429706301930949,0.0,0.608 ± 0.063,0.538 ± 0.089
diabetes,bootstrap,1.0,7,0.8301158301158301,0.5244832745420954,-0.3056325555737347,0.0372235224248361,0.02295178837582307,0.0,0.559 ± 0.046,0.481 ± 0.085
diabetes,gmm,1.0,7,0.5454545454545454,0.5244832745420954,-0.02097127091244999,0.47612550886791105,0.016878679258573392,0.2857142857142857,0.732 ± 0.081,0.655 ± 0.109
diabetes,cvae,1.0,7,0.6102941176470589,0.5244832745420954,-0.08581084310496345,0.42889948146824136,0.08959790408653424,0.42857142857142855,0.759 ± 0.093,0.714 ± 0.095
diabetes,iid_columnwise,1.0,7,0.5870841487279843,0.5244832745420954,-0.06260087418588889,0.058285661087009354,0.14118853821754687,0.14285714285714285,0.584 ± 0.052,0.521 ± 0.100
diabetes,bootstrap,3.0,5,0.7952286282306164,0.4515486213323506,-0.3436800068982658,0.04666026342933529,0.018038399750758445,0.0,0.592 ± 0.065,0.460 ± 0.095
diabetes,gmm,3.0,5,0.47368421052631576,0.4515486213323506,-0.02213558919396519,0.4856364981707334,0.020424271057303458,0.4,0.753 ± 0.100,0.662 ± 0.122
diabetes,cvae,3.0,5,0.5482758620689655,0.4515486213323506,-0.09672724073661493,0.6126007339565049,0.07315449774922123,0.4,0.787 ± 0.104,0.719 ± 0.108
diabetes,iid_columnwise,3.0,5,0.5227722772277228,0.4515486213323506,-0.07122365589537222,0.05028241341266859,0.1294340816860425,0.0,0.558 ± 0.038,0.549 ± 0.099
diabetes,bootstrap,5.0,3,0.6695842450765864,0.39904266517243,-0.27054157990415645,0.04981584078683859,0.015319744564565958,0.0,0.568 ± 0.044,0.477 ± 0.114
diabetes,gmm,5.0,3,0.43661971830985913,0.39904266517243,-0.03757705313742915,0.43102649979538304,0.03910190217067745,0.6666666666666666,0.804 ± 0.061,0.747 ± 0.034
diabetes,cvae,5.0,3,0.4930662557781202,0.39904266517243,-0.09402359060569021,0.8268163087954811,0.0738200731440655,0.6666666666666666,0.836 ± 0.066,0.740 ± 0.071
diabetes,iid_columnwise,5.0,3,0.5309734513274337,0.39904266517243,-0.1319307861550037,0.07214115936870458,0.13339026467189502,0.3333333333333333,0.585 ± 0.090,0.491 ± 0.105
