Dataset,Method,n₀,n₁,TSTR F1 ↑,TRTR F1 (base),Util Gap ↓,KLD Mean ↓,Corr Diff ↓,Prop Sig ↓,RF Sep (mean ± SD),Disc F1 (mean ± SD)
breast_cancer,gmm,42,71,0.958904109589041,0.9507206714103266,-0.0081834381787144,0.9775919569223293,0.1043777102427981,0.0,0.874 ± 0.080,0.781 ± 0.100
breast_cancer,gmm,63,107,0.9629629629629628,0.9542533489757836,-0.0087096139871793,0.5450825746244496,0.0841748233384977,0.0333333333333333,0.849 ± 0.041,0.753 ± 0.073
breast_cancer,gmm,84,142,0.9619377162629758,0.972046495549218,0.0101087792862422,0.5728518471005607,0.0949253692055937,0.0666666666666666,0.822 ± 0.121,0.768 ± 0.127
breast_cancer,gmm,106,178,0.969529085872576,0.971812798178632,0.0022837123060559,0.4219566645668123,0.0705317827773418,0.0666666666666666,0.854 ± 0.096,0.742 ± 0.097
breast_cancer,cvae,42,71,0.9655172413793104,0.9507206714103266,-0.0147965699689838,1.98445123288338,0.0980369104925059,0.0,0.621 ± 0.078,0.594 ± 0.077
breast_cancer,cvae,63,107,0.9626168224299064,0.9542533489757836,-0.008363473454123,1.149806551570998,0.1150447687024586,0.0333333333333333,0.607 ± 0.061,0.565 ± 0.107
breast_cancer,cvae,84,142,0.9690721649484536,0.972046495549218,0.0029743306007643,0.8355998632688021,0.0802058882493833,0.2,0.561 ± 0.037,0.519 ± 0.073
breast_cancer,cvae,106,178,0.9608938547486032,0.971812798178632,0.0109189434300287,0.9177754435404016,0.088584862563385,0.1333333333333333,0.651 ± 0.069,0.590 ± 0.133
diabetes,bootstrap,100,53,0.8155339805825242,0.6189393939393939,-0.1965945866431303,0.3211715771519151,0.0544626041261653,0.0,0.604 ± 0.098,0.406 ± 0.109
diabetes,bootstrap,150,80,0.881578947368421,0.5685185185185185,-0.3130604288499025,0.1690073167261688,0.0408657330653702,0.0,0.618 ± 0.080,0.445 ± 0.086
diabetes,bootstrap,200,107,0.8514851485148515,0.6517959559820025,-0.199689192532849,0.0789807290919547,0.0308718461975603,0.125,0.599 ± 0.070,0.544 ± 0.098
diabetes,bootstrap,250,134,0.833976833976834,0.5871275404305484,-0.2468492935462856,0.0881851359089684,0.0299819677028464,0.0,0.601 ± 0.055,0.432 ± 0.082
diabetes,gmm,100,53,0.6808510638297872,0.6189393939393939,-0.0619116698903933,0.8525226495473439,0.0422936705570051,0.0,0.657 ± 0.068,0.612 ± 0.091
diabetes,gmm,150,80,0.6527777777777778,0.5685185185185185,-0.0842592592592592,0.7123657785203925,0.0305678451316527,0.0,0.714 ± 0.068,0.655 ± 0.089
diabetes,gmm,200,107,0.6633165829145728,0.6517959559820025,-0.0115206269325703,0.5496409151871701,0.0345927000052474,0.125,0.697 ± 0.064,0.626 ± 0.097
diabetes,gmm,250,134,0.5976095617529881,0.5871275404305484,-0.0104820213224396,0.5041069212586997,0.0316663336750088,0.125,0.770 ± 0.074,0.711 ± 0.053
diabetes,cvae,100,53,0.6538461538461539,0.6189393939393939,-0.0349067599067599,1.220919797741753,0.1733208920082111,0.25,0.799 ± 0.086,0.735 ± 0.072
diabetes,cvae,150,80,0.6583850931677019,0.5685185185185185,-0.0898665746491833,0.9472033437491478,0.118569811691668,0.125,0.714 ± 0.110,0.630 ± 0.132
diabetes,cvae,200,107,0.65,0.6517959559820025,0.0017959559820024,1.1657659550469424,0.1171941619427612,0.5,0.841 ± 0.043,0.752 ± 0.058
diabetes,cvae,250,134,0.6590038314176245,0.5871275404305484,-0.0718762909870761,0.7889161754375387,0.081971341164108,0.25,0.762 ± 0.105,0.668 ± 0.108
