Dataset,Method,k (features kept),# Features,TSTR F1 ↑,TRTR F1 (base),Util Gap ↓,KLD Mean ↓,Corr Diff ↓,Prop Sig ↓,RF Sep (mean ± SD),Disc F1 (mean ± SD)
HIV,iid_columnwise,10.0,10,0.9927007299270073,0.9702886334610472,-0.022412096465960096,0.44770093728875276,0.277681172681624,0.0,0.635 ± 0.067,0.531 ± 0.096
HIV,bootstrap,15.0,15,0.9927007299270073,0.9856960408684546,-0.007004689058552671,0.7488084398745509,0.07726571253011692,0.0,0.638 ± 0.069,0.442 ± 0.086
HIV,gmm,15.0,15,0.9925925925925926,0.9856960408684546,-0.006896551724137945,0.9961296621103525,0.07691584953984913,0.0,0.641 ± 0.083,0.598 ± 0.098
HIV,cvae,15.0,15,0.9701492537313433,0.9856960408684546,0.015546787137111329,1.8720969267672496,0.1231810684766739,0.06666666666666667,0.690 ± 0.078,0.648 ± 0.079
HIV,iid_columnwise,15.0,15,0.9927007299270073,0.9856960408684546,-0.007004689058552671,0.7981806419603843,0.3007772997718367,0.0,0.629 ± 0.103,0.560 ± 0.145
HIV,bootstrap,20.0,20,0.9927007299270073,0.9782886334610472,-0.01441209646596009,0.8071785546755553,0.08335233184921145,0.0,0.634 ± 0.091,0.417 ± 0.082
HIV,gmm,20.0,20,0.9927007299270073,0.9782886334610472,-0.01441209646596009,1.1474742567644518,0.049925707402510254,0.05,0.714 ± 0.096,0.628 ± 0.128
HIV,cvae,20.0,20,0.9781021897810219,0.9782886334610472,0.00018644368002529443,1.8208534952032154,0.13571722762200886,0.05,0.682 ± 0.074,0.629 ± 0.059
HIV,iid_columnwise,20.0,20,0.9925925925925926,0.9782886334610472,-0.014303959131545363,0.7239006436248274,0.346882124500886,0.0,0.669 ± 0.089,0.609 ± 0.093
breast_cancer,bootstrap,3.0,3,0.9818688981868898,0.9565841743686331,-0.02528472381825675,0.07737112094354719,0.008381439338527752,0.0,0.576 ± 0.058,0.488 ± 0.097
breast_cancer,gmm,3.0,3,0.9546742209631728,0.9565841743686331,0.0019099534054602962,0.17612435225531584,0.017275392472813005,0.0,0.586 ± 0.050,0.500 ± 0.148
breast_cancer,cvae,3.0,3,0.9186875891583453,0.9565841743686331,0.037896585210287825,1.027885740339604,0.08434528618910142,0.0,0.707 ± 0.080,0.666 ± 0.076
breast_cancer,iid_columnwise,3.0,3,0.9608938547486033,0.9565841743686331,-0.00430968037997026,0.04610295707575742,0.1492145061060812,0.0,0.615 ± 0.062,0.562 ± 0.089
breast_cancer,bootstrap,5.0,5,0.9817671809256662,0.9547818191662382,-0.026985361759428006,0.07516464132790071,0.008834877012013348,0.0,0.560 ± 0.055,0.418 ± 0.151
breast_cancer,gmm,5.0,5,0.9541029207232267,0.9547818191662382,0.0006788984430114997,0.15516885123927315,0.009170374226526392,0.0,0.594 ± 0.076,0.528 ± 0.120
breast_cancer,cvae,5.0,5,0.9153515064562411,0.9547818191662382,0.039430312709997084,0.3865690319943413,0.07882618272421224,0.0,0.631 ± 0.086,0.617 ± 0.112
breast_cancer,iid_columnwise,5.0,5,0.9627586206896551,0.9547818191662382,-0.007976801523416954,0.05860536132801029,0.21427416583009717,0.0,0.688 ± 0.101,0.607 ± 0.101
breast_cancer,bootstrap,10.0,10,0.9832402234636871,0.9653195402657124,-0.017920683197974685,0.07790946485529218,0.02083666097055113,0.0,0.567 ± 0.050,0.488 ± 0.116
breast_cancer,gmm,10.0,10,0.9653259361997226,0.9653195402657124,-6.3959340101948925e-06,0.16947658519176295,0.012880959955211501,0.0,0.559 ± 0.048,0.494 ± 0.133
breast_cancer,cvae,10.0,10,0.9592123769338959,0.9653195402657124,0.00610716333181649,0.2121867648657342,0.07597839483280579,0.1,0.618 ± 0.052,0.587 ± 0.068
breast_cancer,iid_columnwise,10.0,10,0.9547325102880658,0.9653195402657124,0.0105870299776466,0.06699943713377621,0.1962144057488931,0.0,0.650 ± 0.096,0.541 ± 0.158
breast_cancer,bootstrap,15.0,15,0.9859943977591037,0.9734420336327894,-0.01255236412631433,0.07015886348866286,0.02703154722627075,0.0,0.592 ± 0.061,0.483 ± 0.085
breast_cancer,gmm,15.0,15,0.9764216366158114,0.9734420336327894,-0.0029796029830220228,0.2019127992018047,0.02340749772252223,0.0,0.579 ± 0.053,0.503 ± 0.079
breast_cancer,cvae,15.0,15,0.9722222222222222,0.9734420336327894,0.001219811410567151,0.2992756786106211,0.10008635704706373,0.13333333333333333,0.672 ± 0.086,0.599 ± 0.128
breast_cancer,iid_columnwise,15.0,15,0.9625520110957004,0.9734420336327894,0.010890022537088928,0.07392432895070626,0.16973429424143394,0.0,0.661 ± 0.083,0.578 ± 0.134
breast_cancer,bootstrap,20.0,20,0.988795518207283,0.9720641087906751,-0.01673140941660789,0.07736878848363052,0.030555364953946916,0.0,0.547 ± 0.037,0.487 ± 0.079
breast_cancer,gmm,20.0,20,0.9622377622377623,0.9720641087906751,0.009826346552912812,0.2018136766735073,0.03245302939875859,0.0,0.615 ± 0.067,0.530 ± 0.089
breast_cancer,cvae,20.0,20,0.9649368863955119,0.9720641087906751,0.007127222395163169,0.22320099060979995,0.07179462877866125,0.1,0.606 ± 0.071,0.550 ± 0.116
breast_cancer,iid_columnwise,20.0,20,0.9571230982019364,0.9720641087906751,0.014941010588738646,0.0776248490819069,0.1834853770692554,0.0,0.602 ± 0.044,0.528 ± 0.102
diabetes,bootstrap,3.0,3,0.851782363977486,0.6088147206473224,-0.24296764333016352,0.05707924522622549,0.016911164467842035,0.0,0.552 ± 0.036,0.476 ± 0.103
diabetes,gmm,3.0,3,0.6213235294117647,0.6088147206473224,-0.01250880876444227,0.21995659032468007,0.005436497137365495,0.0,0.562 ± 0.058,0.490 ± 0.093
diabetes,cvae,3.0,3,0.631163708086785,0.6088147206473224,-0.022348987439462564,0.29027024344337476,0.05839504273297999,0.3333333333333333,0.544 ± 0.040,0.520 ± 0.084
diabetes,iid_columnwise,3.0,3,0.6447876447876448,0.6088147206473224,-0.03597292414032238,0.06937259691909203,0.06500863111993181,0.0,0.569 ± 0.055,0.543 ± 0.073
diabetes,bootstrap,5.0,5,0.8768656716417911,0.6371931337240502,-0.2396725379177409,0.05101830609296744,0.024267970617458688,0.0,0.582 ± 0.074,0.499 ± 0.104
diabetes,gmm,5.0,5,0.632,0.6371931337240502,0.00519313372405017,0.21589877686295028,0.0285678337999542,0.0,0.591 ± 0.050,0.519 ± 0.102
diabetes,cvae,5.0,5,0.628,0.6371931337240502,0.009193133724050173,0.29188660411873507,0.05757883643510473,0.4,0.636 ± 0.078,0.583 ± 0.088
diabetes,iid_columnwise,5.0,5,0.6410748560460653,0.6371931337240502,-0.003881722322015113,0.06352480236425027,0.08265999169785877,0.0,0.612 ± 0.071,0.536 ± 0.075
