dataset,frac,seed,method,trtr_f1,trtr_auc,tstr_f1,tstr_auc,utility_gap_f1,utility_gap_auc,utility_ratio_f1,utility_ratio_auc,n_train_real,n_test_real
HIV,0.2,7,bootstrap,1.0,1.0,0.5714285714285714,0.9,0.4285714285714286,0.09999999999999998,0.5714285714285714,0.9,11,6
HIV,0.2,7,gmm,1.0,1.0,0.8888888888888888,1.0,0.11111111111111116,0.0,0.8888888888888888,1.0,11,6
HIV,0.2,7,cvae,1.0,1.0,0.5714285714285714,0.4,0.4285714285714286,0.6,0.5714285714285714,0.4,11,6
HIV,0.2,8,bootstrap,0.75,0.8,0.75,1.0,0.0,-0.19999999999999996,1.0,1.25,11,6
HIV,0.2,8,gmm,0.75,0.8,0.75,0.6,0.0,0.20000000000000007,1.0,0.7499999999999999,11,6
HIV,0.2,8,cvae,0.75,0.8,0.75,1.0,0.0,-0.19999999999999996,1.0,1.25,11,6
HIV,0.2,9,bootstrap,0.5714285714285714,0.6,0.5,0.4,0.0714285714285714,0.19999999999999996,0.875,0.6666666666666667,11,6
HIV,0.2,9,gmm,0.5714285714285714,0.6,0.2857142857142857,0.2,0.2857142857142857,0.39999999999999997,0.5,0.33333333333333337,11,6
HIV,0.2,9,cvae,0.5714285714285714,0.6,0.75,0.8,-0.1785714285714286,-0.20000000000000007,1.3125,1.3333333333333335,11,6
HIV,0.3,0,bootstrap,0.9230769230769231,0.9166666666666667,0.9230769230769231,0.9583333333333334,0.0,-0.04166666666666663,1.0,1.0454545454545454,18,8
HIV,0.3,0,gmm,0.9230769230769231,0.9166666666666667,0.9230769230769231,0.9166666666666667,0.0,0.0,1.0,1.0,18,8
HIV,0.3,0,cvae,0.9230769230769231,0.9166666666666667,0.6666666666666666,1.0,0.2564102564102565,-0.08333333333333326,0.7222222222222221,1.0909090909090908,18,8
HIV,0.3,1,bootstrap,0.8571428571428571,0.8333333333333334,0.7692307692307693,0.8333333333333334,0.08791208791208782,0.0,0.8974358974358976,1.0,18,8
HIV,0.3,1,gmm,0.8571428571428571,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.023809523809523725,0.0,0.9722222222222223,1.0,18,8
HIV,0.3,1,cvae,0.8571428571428571,0.8333333333333334,0.8333333333333334,0.75,0.023809523809523725,0.08333333333333337,0.9722222222222223,0.8999999999999999,18,8
HIV,0.3,2,bootstrap,0.8571428571428571,0.625,0.6666666666666666,0.3333333333333333,0.19047619047619047,0.2916666666666667,0.7777777777777778,0.5333333333333333,18,8
HIV,0.3,2,gmm,0.8571428571428571,0.625,0.8571428571428571,0.41666666666666663,0.0,0.20833333333333337,1.0,0.6666666666666666,18,8
HIV,0.3,2,cvae,0.8571428571428571,0.625,0.7692307692307693,0.41666666666666663,0.08791208791208782,0.20833333333333337,0.8974358974358976,0.6666666666666666,18,8
HIV,0.3,3,bootstrap,0.9230769230769231,1.0,1.0,1.0,-0.07692307692307687,0.0,1.0833333333333333,1.0,18,8
HIV,0.3,3,gmm,0.9230769230769231,1.0,0.8571428571428571,1.0,0.06593406593406603,0.0,0.9285714285714285,1.0,18,8
HIV,0.3,3,cvae,0.9230769230769231,1.0,0.9090909090909091,1.0,0.013986013986014068,0.0,0.9848484848484848,1.0,18,8
HIV,0.3,4,bootstrap,1.0,1.0,0.8333333333333334,0.8333333333333334,0.16666666666666663,0.16666666666666663,0.8333333333333334,0.8333333333333334,18,8
HIV,0.3,4,gmm,1.0,1.0,0.9090909090909091,1.0,0.09090909090909094,0.0,0.9090909090909091,1.0,18,8
HIV,0.3,4,cvae,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,18,8
HIV,0.3,5,bootstrap,0.9230769230769231,1.0,0.8333333333333334,0.8333333333333333,0.08974358974358976,0.16666666666666674,0.9027777777777778,0.8333333333333333,18,8
HIV,0.3,5,gmm,0.9230769230769231,1.0,0.9230769230769231,0.75,0.0,0.25,1.0,0.75,18,8
HIV,0.3,5,cvae,0.9230769230769231,1.0,0.9230769230769231,0.9166666666666667,0.0,0.08333333333333326,1.0,0.9166666666666667,18,8
HIV,0.3,6,bootstrap,0.8571428571428571,1.0,0.5454545454545454,0.41666666666666663,0.3116883116883117,0.5833333333333334,0.6363636363636364,0.41666666666666663,18,8
HIV,0.3,6,gmm,0.8571428571428571,1.0,0.9230769230769231,0.9166666666666667,-0.06593406593406603,0.08333333333333326,1.076923076923077,0.9166666666666667,18,8
HIV,0.3,6,cvae,0.8571428571428571,1.0,0.9230769230769231,0.9166666666666667,-0.06593406593406603,0.08333333333333326,1.076923076923077,0.9166666666666667,18,8
HIV,0.3,7,bootstrap,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,18,8
HIV,0.3,7,gmm,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,18,8
HIV,0.3,7,cvae,1.0,1.0,0.9090909090909091,1.0,0.09090909090909094,0.0,0.9090909090909091,1.0,18,8
HIV,0.3,8,bootstrap,0.9090909090909091,0.9166666666666667,0.8,0.9166666666666667,0.10909090909090902,0.0,0.8800000000000001,1.0,18,8
HIV,0.3,8,gmm,0.9090909090909091,0.9166666666666667,0.9230769230769231,0.9166666666666667,-0.013986013986014068,0.0,1.0153846153846156,1.0,18,8
HIV,0.3,8,cvae,0.9090909090909091,0.9166666666666667,0.8333333333333334,0.75,0.07575757575757569,0.16666666666666674,0.9166666666666667,0.8181818181818181,18,8
HIV,0.3,9,bootstrap,0.9230769230769231,0.9166666666666667,0.8333333333333334,0.7916666666666666,0.08974358974358976,0.1250000000000001,0.9027777777777778,0.8636363636363635,18,8
HIV,0.3,9,gmm,0.9230769230769231,0.9166666666666667,0.8571428571428571,1.0,0.06593406593406603,-0.08333333333333326,0.9285714285714285,1.0909090909090908,18,8
HIV,0.3,9,cvae,0.9230769230769231,0.9166666666666667,0.9230769230769231,0.8333333333333333,0.0,0.08333333333333348,1.0,0.909090909090909,18,8
HIV,0.4,0,bootstrap,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,25,11
HIV,0.4,0,gmm,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,25,11
HIV,0.4,0,cvae,1.0,1.0,0.9333333333333333,1.0,0.06666666666666665,0.0,0.9333333333333333,1.0,25,11
HIV,0.4,1,bootstrap,0.8888888888888888,1.0,0.8571428571428571,0.9166666666666667,0.031746031746031744,0.08333333333333326,0.9642857142857143,0.9166666666666667,25,11
HIV,0.4,1,gmm,0.8888888888888888,1.0,0.8421052631578947,1.0,0.04678362573099415,0.0,0.9473684210526315,1.0,25,11
HIV,0.4,1,cvae,0.8888888888888888,1.0,0.7142857142857143,0.6875,0.17460317460317454,0.3125,0.8035714285714286,0.6875,25,11
HIV,0.4,2,bootstrap,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,25,11
HIV,0.4,2,gmm,1.0,1.0,0.8421052631578947,1.0,0.1578947368421053,0.0,0.8421052631578947,1.0,25,11
HIV,0.4,2,cvae,1.0,1.0,0.9333333333333333,0.9583333333333334,0.06666666666666665,0.04166666666666663,0.9333333333333333,0.9583333333333334,25,11
HIV,0.4,3,bootstrap,1.0,1.0,0.8888888888888888,1.0,0.11111111111111116,0.0,0.8888888888888888,1.0,25,11
HIV,0.4,3,gmm,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,25,11
HIV,0.4,3,cvae,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,25,11
HIV,0.4,4,bootstrap,0.9411764705882353,1.0,0.8888888888888888,1.0,0.05228758169934644,0.0,0.9444444444444444,1.0,25,11
HIV,0.4,4,gmm,0.9411764705882353,1.0,1.0,1.0,-0.05882352941176472,0.0,1.0625,1.0,25,11
HIV,0.4,4,cvae,0.9411764705882353,1.0,0.9411764705882353,1.0,0.0,0.0,1.0,1.0,25,11
HIV,0.4,5,bootstrap,0.8235294117647058,0.875,0.8571428571428571,1.0,-0.03361344537815125,-0.125,1.0408163265306123,1.1428571428571428,25,11
HIV,0.4,5,gmm,0.8235294117647058,0.875,0.7692307692307693,0.8333333333333334,0.05429864253393657,0.04166666666666663,0.9340659340659342,0.9523809523809524,25,11
HIV,0.4,5,cvae,0.8235294117647058,0.875,1.0,1.0,-0.17647058823529416,-0.125,1.2142857142857144,1.1428571428571428,25,11
HIV,0.4,6,bootstrap,0.9411764705882353,1.0,0.9411764705882353,0.9166666666666667,0.0,0.08333333333333326,1.0,0.9166666666666667,25,11
HIV,0.4,6,gmm,0.9411764705882353,1.0,0.9411764705882353,1.0,0.0,0.0,1.0,1.0,25,11
HIV,0.4,6,cvae,0.9411764705882353,1.0,0.9333333333333333,1.0,0.007843137254901933,0.0,0.9916666666666667,1.0,25,11
HIV,0.4,7,bootstrap,0.9411764705882353,0.9583333333333334,0.8888888888888888,0.9166666666666667,0.05228758169934644,0.04166666666666663,0.9444444444444444,0.9565217391304348,25,11
HIV,0.4,7,gmm,0.9411764705882353,0.9583333333333334,0.8888888888888888,0.9583333333333334,0.05228758169934644,0.0,0.9444444444444444,1.0,25,11
HIV,0.4,7,cvae,0.9411764705882353,0.9583333333333334,0.75,0.6666666666666666,0.19117647058823528,0.29166666666666674,0.796875,0.6956521739130435,25,11
HIV,0.4,8,bootstrap,0.9411764705882353,1.0,0.8421052631578947,1.0,0.09907120743034059,0.0,0.8947368421052632,1.0,25,11
HIV,0.4,8,gmm,0.9411764705882353,1.0,0.8571428571428571,1.0,0.08403361344537819,0.0,0.9107142857142857,1.0,25,11
HIV,0.4,8,cvae,0.9411764705882353,1.0,0.875,0.875,0.06617647058823528,0.125,0.9296875,0.875,25,11
HIV,0.4,9,bootstrap,0.9333333333333333,1.0,0.8571428571428571,1.0,0.07619047619047625,0.0,0.9183673469387754,1.0,25,11
HIV,0.4,9,gmm,0.9333333333333333,1.0,1.0,1.0,-0.06666666666666665,0.0,1.0714285714285714,1.0,25,11
HIV,0.4,9,cvae,0.9333333333333333,1.0,0.7692307692307693,0.875,0.16410256410256407,0.125,0.8241758241758242,0.875,25,11
HIV,0.5,0,bootstrap,0.9565217391304348,0.9393939393939394,1.0,1.0,-0.04347826086956519,-0.06060606060606055,1.0454545454545454,1.064516129032258,31,14
HIV,0.5,0,gmm,0.9565217391304348,0.9393939393939394,0.9090909090909091,0.9393939393939394,0.04743083003952575,0.0,0.9504132231404958,1.0,31,14
HIV,0.5,0,cvae,0.9565217391304348,0.9393939393939394,0.9523809523809523,0.9696969696969697,0.0041407867494824835,-0.030303030303030276,0.9956709956709956,1.032258064516129,31,14
HIV,0.5,1,bootstrap,0.9523809523809523,0.9696969696969697,0.9090909090909091,0.9696969696969697,0.04329004329004327,0.0,0.9545454545454546,1.0,31,14
HIV,0.5,1,gmm,0.9523809523809523,0.9696969696969697,0.9565217391304348,0.9696969696969697,-0.0041407867494824835,0.0,1.0043478260869567,1.0,31,14
HIV,0.5,1,cvae,0.9523809523809523,0.9696969696969697,0.8421052631578947,1.0,0.11027568922305764,-0.030303030303030276,0.8842105263157894,1.03125,31,14
HIV,0.5,2,bootstrap,0.9565217391304348,1.0,0.9565217391304348,1.0,0.0,0.0,1.0,1.0,31,14
HIV,0.5,2,gmm,0.9565217391304348,1.0,0.9565217391304348,1.0,0.0,0.0,1.0,1.0,31,14
HIV,0.5,2,cvae,0.9565217391304348,1.0,0.7777777777777778,1.0,0.17874396135265702,0.0,0.8131313131313131,1.0,31,14
HIV,0.5,3,bootstrap,0.9523809523809523,1.0,0.9090909090909091,0.9393939393939393,0.04329004329004327,0.06060606060606066,0.9545454545454546,0.9393939393939393,31,14
HIV,0.5,3,gmm,0.9523809523809523,1.0,0.9,0.9393939393939393,0.052380952380952306,0.06060606060606066,0.9450000000000001,0.9393939393939393,31,14
HIV,0.5,3,cvae,0.9523809523809523,1.0,1.0,1.0,-0.04761904761904767,0.0,1.05,1.0,31,14
HIV,0.5,4,bootstrap,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,31,14
HIV,0.5,4,gmm,1.0,1.0,0.9565217391304348,1.0,0.04347826086956519,0.0,0.9565217391304348,1.0,31,14
HIV,0.5,4,cvae,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,31,14
HIV,0.5,5,bootstrap,0.9565217391304348,0.9696969696969697,0.9565217391304348,0.9090909090909092,0.0,0.06060606060606055,1.0,0.9375000000000001,31,14
HIV,0.5,5,gmm,0.9565217391304348,0.9696969696969697,0.9565217391304348,0.9090909090909092,0.0,0.06060606060606055,1.0,0.9375000000000001,31,14
HIV,0.5,5,cvae,0.9565217391304348,0.9696969696969697,0.8695652173913043,0.696969696969697,0.08695652173913049,0.2727272727272727,0.9090909090909091,0.71875,31,14
HIV,0.5,6,bootstrap,1.0,1.0,0.7777777777777778,1.0,0.2222222222222222,0.0,0.7777777777777778,1.0,31,14
HIV,0.5,6,gmm,1.0,1.0,0.9523809523809523,1.0,0.04761904761904767,0.0,0.9523809523809523,1.0,31,14
HIV,0.5,6,cvae,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,31,14
HIV,0.5,7,bootstrap,1.0,1.0,0.9565217391304348,1.0,0.04347826086956519,0.0,0.9565217391304348,1.0,31,14
HIV,0.5,7,gmm,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,31,14
HIV,0.5,7,cvae,1.0,1.0,0.9523809523809523,1.0,0.04761904761904767,0.0,0.9523809523809523,1.0,31,14
HIV,0.5,8,bootstrap,0.9565217391304348,1.0,0.9565217391304348,1.0,0.0,0.0,1.0,1.0,31,14
HIV,0.5,8,gmm,0.9565217391304348,1.0,1.0,1.0,-0.04347826086956519,0.0,1.0454545454545454,1.0,31,14
HIV,0.5,8,cvae,0.9565217391304348,1.0,0.7368421052631579,0.8181818181818181,0.21967963386727696,0.18181818181818188,0.770334928229665,0.8181818181818181,31,14
HIV,0.5,9,bootstrap,0.9565217391304348,1.0,1.0,1.0,-0.04347826086956519,0.0,1.0454545454545454,1.0,31,14
HIV,0.5,9,gmm,0.9565217391304348,1.0,0.9565217391304348,0.8181818181818182,0.0,0.18181818181818177,1.0,0.8181818181818182,31,14
HIV,0.5,9,cvae,0.9565217391304348,1.0,1.0,1.0,-0.04347826086956519,0.0,1.0454545454545454,1.0,31,14
breast_cancer,0.2,0,bootstrap,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,79,34
breast_cancer,0.2,0,gmm,1.0,1.0,0.9767441860465116,0.9926739926739926,0.023255813953488413,0.007326007326007411,0.9767441860465116,0.9926739926739926,79,34
breast_cancer,0.2,0,cvae,1.0,1.0,0.9767441860465116,1.0,0.023255813953488413,0.0,0.9767441860465116,1.0,79,34
breast_cancer,0.2,1,bootstrap,0.9333333333333333,0.9963369963369964,0.9302325581395349,0.9816849816849818,0.0031007751937984773,0.0146520146520146,0.9966777408637874,0.9852941176470589,79,34
breast_cancer,0.2,1,gmm,0.9333333333333333,0.9963369963369964,0.9523809523809523,0.989010989010989,-0.01904761904761898,0.0073260073260073,1.0204081632653061,0.9926470588235294,79,34
breast_cancer,0.2,1,cvae,0.9333333333333333,0.9963369963369964,0.8837209302325582,0.9487179487179487,0.04961240310077519,0.04761904761904767,0.946843853820598,0.9522058823529411,79,34
breast_cancer,0.2,2,bootstrap,0.9333333333333333,0.978021978021978,0.9302325581395349,0.9816849816849818,0.0031007751937984773,-0.003663003663003761,0.9966777408637874,1.00374531835206,79,34
breast_cancer,0.2,2,gmm,0.9333333333333333,0.978021978021978,0.9545454545454546,0.9853479853479853,-0.021212121212121238,-0.0073260073260073,1.0227272727272727,1.0074906367041199,79,34
breast_cancer,0.2,2,cvae,0.9333333333333333,0.978021978021978,0.9333333333333333,0.9597069597069596,0.0,0.01831501831501836,1.0,0.9812734082397003,79,34
breast_cancer,0.2,3,bootstrap,0.926829268292683,0.9816849816849818,0.9,0.9853479853479854,0.02682926829268295,-0.00366300366300365,0.9710526315789474,1.0037313432835822,79,34
breast_cancer,0.2,3,gmm,0.926829268292683,0.9816849816849818,0.9545454545454546,0.9926739926739927,-0.027716186252771613,-0.01098901098901095,1.0299043062200957,1.0111940298507462,79,34
breast_cancer,0.2,3,cvae,0.926829268292683,0.9816849816849818,0.9545454545454546,0.989010989010989,-0.027716186252771613,-0.0073260073260073,1.0299043062200957,1.007462686567164,79,34
breast_cancer,0.2,4,bootstrap,0.8695652173913043,0.9395604395604396,0.8888888888888888,0.9340659340659341,-0.019323671497584516,0.005494505494505475,1.0222222222222221,0.9941520467836258,79,34
breast_cancer,0.2,4,gmm,0.8695652173913043,0.9395604395604396,0.8888888888888888,0.9743589743589745,-0.019323671497584516,-0.0347985347985349,1.0222222222222221,1.0370370370370372,79,34
breast_cancer,0.2,4,cvae,0.8695652173913043,0.9395604395604396,0.875,0.9615384615384615,-0.005434782608695676,-0.0219780219780219,1.00625,1.023391812865497,79,34
breast_cancer,0.2,5,bootstrap,0.9523809523809523,0.978021978021978,0.9523809523809523,0.978021978021978,0.0,0.0,1.0,1.0,79,34
breast_cancer,0.2,5,gmm,0.9523809523809523,0.978021978021978,0.9523809523809523,0.9816849816849818,0.0,-0.003663003663003761,1.0,1.00374531835206,79,34
breast_cancer,0.2,5,cvae,0.9523809523809523,0.978021978021978,0.9302325581395349,0.967032967032967,0.022148394241417457,0.01098901098901095,0.9767441860465117,0.9887640449438203,79,34
breast_cancer,0.2,6,bootstrap,0.9545454545454546,0.9926739926739927,0.9333333333333333,0.9926739926739927,0.021212121212121238,0.0,0.9777777777777777,1.0,79,34
breast_cancer,0.2,6,gmm,0.9545454545454546,0.9926739926739927,0.9090909090909091,0.9853479853479854,0.045454545454545525,0.0073260073260073,0.9523809523809523,0.992619926199262,79,34
breast_cancer,0.2,6,cvae,0.9545454545454546,0.9926739926739927,0.9767441860465116,1.0,-0.022198731501057,-0.0073260073260073,1.0232558139534882,1.007380073800738,79,34
breast_cancer,0.2,7,bootstrap,0.975609756097561,1.0,0.975609756097561,0.9963369963369964,0.0,0.00366300366300365,1.0,0.9963369963369964,79,34
breast_cancer,0.2,7,gmm,0.975609756097561,1.0,0.975609756097561,1.0,0.0,0.0,1.0,1.0,79,34
breast_cancer,0.2,7,cvae,0.975609756097561,1.0,0.975609756097561,1.0,0.0,0.0,1.0,1.0,79,34
breast_cancer,0.2,8,bootstrap,0.975609756097561,1.0,1.0,1.0,-0.024390243902439046,0.0,1.0250000000000001,1.0,79,34
breast_cancer,0.2,8,gmm,0.975609756097561,1.0,1.0,1.0,-0.024390243902439046,0.0,1.0250000000000001,1.0,79,34
breast_cancer,0.2,8,cvae,0.975609756097561,1.0,0.9767441860465116,1.0,-0.0011344299489506326,0.0,1.0011627906976743,1.0,79,34
breast_cancer,0.2,9,bootstrap,0.9767441860465116,0.9926739926739927,0.9767441860465116,1.0,0.0,-0.0073260073260073,1.0,1.007380073800738,79,34
breast_cancer,0.2,9,gmm,0.9767441860465116,0.9926739926739927,0.9545454545454546,0.9853479853479854,0.022198731501057,0.0073260073260073,0.9772727272727274,0.992619926199262,79,34
breast_cancer,0.2,9,cvae,0.9767441860465116,0.9926739926739927,0.9333333333333333,0.9926739926739927,0.04341085271317824,0.0,0.9555555555555556,1.0,79,34
breast_cancer,0.3,0,bootstrap,0.9552238805970149,0.9901315789473684,0.9552238805970149,0.9893092105263158,0.0,0.0008223684210525439,1.0,0.9991694352159469,119,51
breast_cancer,0.3,0,gmm,0.9552238805970149,0.9901315789473684,0.9696969696969697,0.9983552631578948,-0.014473089099954817,-0.008223684210526438,1.0151515151515151,1.0083056478405317,119,51
breast_cancer,0.3,0,cvae,0.9552238805970149,0.9901315789473684,0.9411764705882353,0.9901315789473685,0.014047410008779626,-1.1102230246251565e-16,0.9852941176470589,1.0000000000000002,119,51
breast_cancer,0.3,1,bootstrap,0.9538461538461539,0.9580592105263158,0.9393939393939394,0.9523026315789475,0.014452214452214451,0.005756578947368363,0.9848484848484849,0.9939914163090129,119,51
breast_cancer,0.3,1,gmm,0.9538461538461539,0.9580592105263158,0.9538461538461539,0.9786184210526315,0.0,-0.020559210526315708,1.0,1.0214592274678111,119,51
breast_cancer,0.3,1,cvae,0.9538461538461539,0.9580592105263158,0.927536231884058,0.9457236842105263,0.026309921962095917,0.012335526315789491,0.9724170172978027,0.9871244635193133,119,51
breast_cancer,0.3,2,bootstrap,0.96875,0.990953947368421,0.9354838709677419,0.9884868421052632,0.03326612903225812,0.002467105263157854,0.9656607700312174,0.9975103734439834,119,51
breast_cancer,0.3,2,gmm,0.96875,0.990953947368421,0.9354838709677419,0.9901315789473685,0.03326612903225812,0.0008223684210525439,0.9656607700312174,0.9991701244813279,119,51
breast_cancer,0.3,2,cvae,0.96875,0.990953947368421,0.96875,0.9942434210526316,0.0,-0.00328947368421062,1.0,1.0033195020746888,119,51
breast_cancer,0.3,3,bootstrap,0.9523809523809523,0.9950657894736842,0.9523809523809523,0.9925986842105263,0.0,0.002467105263157854,1.0,0.9975206611570249,119,51
breast_cancer,0.3,3,gmm,0.9523809523809523,0.9950657894736842,0.9846153846153847,0.9950657894736842,-0.03223443223443234,0.0,1.0338461538461539,1.0,119,51
breast_cancer,0.3,3,cvae,0.9523809523809523,0.9950657894736842,0.9508196721311475,0.9950657894736843,0.0015612802498048417,-1.1102230246251565e-16,0.9983606557377049,1.0000000000000002,119,51
breast_cancer,0.3,4,bootstrap,0.9552238805970149,0.9860197368421053,0.9552238805970149,0.9827302631578948,0.0,0.003289473684210509,1.0,0.9966638865721434,119,51
breast_cancer,0.3,4,gmm,0.9552238805970149,0.9860197368421053,0.9552238805970149,0.9851973684210527,0.0,0.000822368421052655,1.0,0.9991659716430359,119,51
breast_cancer,0.3,4,cvae,0.9552238805970149,0.9860197368421053,0.9552238805970149,0.9835526315789473,0.0,0.002467105263157965,1.0,0.9974979149291076,119,51
breast_cancer,0.3,5,bootstrap,0.9696969696969697,0.9950657894736843,0.9696969696969697,0.9917763157894737,0.0,0.00328947368421062,1.0,0.9966942148760329,119,51
breast_cancer,0.3,5,gmm,0.9696969696969697,0.9950657894736843,0.9552238805970149,0.9983552631578947,0.014473089099954817,-0.0032894736842103978,0.9850746268656716,1.0033057851239668,119,51
breast_cancer,0.3,5,cvae,0.9696969696969697,0.9950657894736843,0.9411764705882353,0.9950657894736843,0.028520499108734443,0.0,0.9705882352941176,1.0,119,51
breast_cancer,0.3,6,bootstrap,0.9846153846153847,0.9950657894736843,0.9846153846153847,0.9934210526315789,0.0,0.001644736842105421,1.0,0.9983471074380164,119,51
breast_cancer,0.3,6,gmm,0.9846153846153847,0.9950657894736843,0.9523809523809523,0.984375,0.03223443223443234,0.010690789473684292,0.9672619047619047,0.9892561983471073,119,51
breast_cancer,0.3,6,cvae,0.9846153846153847,0.9950657894736843,0.96875,0.9917763157894737,0.01586538461538467,0.00328947368421062,0.98388671875,0.9966942148760329,119,51
breast_cancer,0.3,7,bootstrap,0.9841269841269841,1.0,0.9841269841269841,1.0,0.0,0.0,1.0,1.0,119,51
breast_cancer,0.3,7,gmm,0.9841269841269841,1.0,0.967741935483871,0.9967105263157895,0.016385048643113076,0.003289473684210509,0.9833506763787722,0.9967105263157895,119,51
breast_cancer,0.3,7,cvae,0.9841269841269841,1.0,0.967741935483871,0.9983552631578948,0.016385048643113076,0.0016447368421051989,0.9833506763787722,0.9983552631578948,119,51
breast_cancer,0.3,8,bootstrap,0.9375,0.9925986842105263,0.9354838709677419,0.9868421052631579,0.0020161290322581182,0.005756578947368474,0.9978494623655914,0.9942004971002485,119,51
breast_cancer,0.3,8,gmm,0.9375,0.9925986842105263,0.967741935483871,0.9967105263157896,-0.030241935483870996,-0.004111842105263275,1.032258064516129,1.004142502071251,119,51
breast_cancer,0.3,8,cvae,0.9375,0.9925986842105263,0.9206349206349206,0.9827302631578948,0.016865079365079416,0.009868421052631526,0.982010582010582,0.9900579950289976,119,51
breast_cancer,0.3,9,bootstrap,0.9696969696969697,0.9983552631578948,0.9411764705882353,0.9950657894736842,0.028520499108734443,0.00328947368421062,0.9705882352941176,0.9967051070840197,119,51
breast_cancer,0.3,9,gmm,0.9696969696969697,0.9983552631578948,0.9696969696969697,0.990953947368421,0.0,0.0074013157894737835,1.0,0.9925864909390444,119,51
breast_cancer,0.3,9,cvae,0.9696969696969697,0.9983552631578948,0.9411764705882353,0.981907894736842,0.028520499108734443,0.016447368421052766,0.9705882352941176,0.9835255354200987,119,51
breast_cancer,0.4,0,bootstrap,0.9655172413793104,0.9865116279069767,0.9545454545454546,0.9883720930232558,0.010971786833855801,-0.0018604651162791308,0.9886363636363636,1.0018859028760019,158,68
breast_cancer,0.4,0,gmm,0.9655172413793104,0.9865116279069767,0.9425287356321839,0.9846511627906976,0.02298850574712652,0.0018604651162790198,0.976190476190476,0.9981140971239981,158,68
breast_cancer,0.4,0,cvae,0.9655172413793104,0.9865116279069767,0.9333333333333333,0.9846511627906976,0.03218390804597704,0.0018604651162790198,0.9666666666666667,0.9981140971239981,158,68
